ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-0.0048364835220528115	29.3	8.0	29.3	19.733333333333334	-0.0	0	0	39	8	39	26	22	8	22	15	0	0	22.447235107421875	30	22.447235107421875	27	10.0	
0.0	28.233333333333334	8.0	30.583333333333332	20.541666666666668	-0.0	1	7	48	8.0	39.0	26.0	12	8.0	22.0	15.0	0	0	18.42729687690735	60	40.874531984329224	47	21.66666666666667	
0.0	28.5	8.0	31.8	21.32	-0.0	2	13	49	8.0	39.0	26.0	6	8.0	22.0	15.0	0	0	20.52903413772583	90	61.403566122055054	56	37.77777777777778	
0.0	33.6	8.0	28.310344827586206	19.06896551724138	-0.0	3	15	49	8.0	39.0	26.0	21	8.0	22.0	15.0	0	0	18.58095097541809	120	79.98451709747314	61	49.16666666666667	
0.0	32.53333333333333	8.0	27.333333333333332	18.433333333333334	-0.0	4	15	49	8	36	24	18	8	22	15	0	0	21.436480045318604	150	101.42099714279175	66	56.0	
0.0	31.133333333333333	8.0	26.448275862068964	17.862068965517242	-0.0	5	17	50	8.0	36.0	24.0	11	8.0	22.0	15.0	0	0	18.367419958114624	180	119.78841710090637	69	61.666666666666664	
0.0	34.8	8.0	26.862068965517242	18.137931034482758	-0.0	6	19	50	8.0	39.0	26.0	13	8.0	22.0	15.0	0	0	19.035810947418213	210	138.82422804832458	74	64.76190476190476	
0.0	37.86666666666667	8.0	27.75862068965517	18.724137931034484	-0.0	7	21	50	8.0	36.0	24.0	20	8.0	22.0	15.0	0	0	19.534945011138916	240	158.3591730594635	77	67.91666666666666	
0.0	35.63333333333333	8.0	28.466666666666665	19.166666666666668	-0.0	8	21	49	8	36	24	22	8	22	15	0	0	24.11188507080078	270	182.47105813026428	81	70.0	
0.0	34.266666666666666	8.0	26.966666666666665	18.2	-0.0	9	22	49	8	36	24	17	8	22	15	0	0	19.2515869140625	300	201.72264504432678	87	71.0	
0.0	30.7	8.0	29.46153846153846	19.807692307692307	-0.0	10	27	47	8.0	36.0	24.0	2	8.0	22.0	15.0	0	0	20.171721935272217	330	221.894366979599	90	72.72727272727273	
0.0	36.233333333333334	8.0	27.933333333333334	18.833333333333332	-0.0	11	28	48	8	36	24	22	8	22	15	0	0	21.073721170425415	360	242.9680881500244	93	74.16666666666666	
