ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
0.0	30.4	8.0	30.4	20.433333333333334	-0.0	0	0	39	8	39	26	22	8	22	15	0	0	27.47026515007019	30	27.47026515007019	27	10.0	
0.0	29.366666666666667	8.0	28.346153846153847	19.115384615384617	-0.0	1	5	45	8.0	39.0	26.0	16	8.0	22.0	15.0	0	0	17.665742874145508	60	45.1360080242157	43	28.33333333333333	
0.0	33.93333333333333	8.0	26.655172413793103	18.03448275862069	-0.0	2	7	48	8.0	39.0	26.0	15	8.0	22.0	15.0	0	0	15.464173078536987	90	60.600181102752686	53	41.11111111111111	
0.0	31.466666666666665	8.0	28.103448275862068	18.96551724137931	-0.0	3	9	47	8.0	39.0	26.0	18	8.0	22.0	15.0	0	0	18.388987064361572	120	78.98916816711426	65	45.833333333333336	
0.0	30.1	8.0	29.0	19.535714285714285	-0.0	4	12	46	8.0	39.0	26.0	13	8.0	22.0	15.0	0	0	18.66390085220337	150	97.65306901931763	77	48.66666666666667	
0.0	29.266666666666666	8.0	27.23076923076923	18.384615384615383	-0.0	5	17	46	8.0	39.0	26.0	8	8.0	22.0	15.0	0	0	17.023568868637085	180	114.67663788795471	83	53.888888888888886	
0.0	31.4	8.0	26.892857142857142	18.178571428571427	-0.0	6	20	47	8.0	39.0	26.0	18	8.0	22.0	15.0	0	0	16.884945154190063	210	131.56158304214478	89	57.61904761904762	
0.0	32.4	8.0	27.344827586206897	18.482758620689655	-0.0	7	22	47	8.0	39.0	26.0	15	8.0	22.0	15.0	0	0	16.19373393058777	240	147.75531697273254	98	59.166666666666664	
0.0	28.6	8.0	26.115384615384617	17.692307692307693	-0.0	8	27	48	8.0	39.0	26.0	16	8.0	22.0	15.0	0	0	14.494912147521973	270	162.25022912025452	101	62.592592592592595	
0.0	34.833333333333336	8.0	28.862068965517242	19.448275862068964	-0.0	9	29	48	8.0	39.0	26.0	19	8.0	22.0	15.0	0	0	18.40499711036682	300	180.65522623062134	106	64.66666666666666	
0.0	35.4	8.0	30.678571428571427	20.607142857142858	-0.0	10	32	49	8.0	39.0	26.0	15	8.0	22.0	15.0	0	0	28.117920875549316	330	208.77314710617065	114	65.45454545454545	
0.0	36.06666666666667	8.0	32.53333333333333	21.8	-0.0	11	32	50	8	39	26	19	8	22	15	0	0	27.82888674736023	360	236.60203385353088	121	66.38888888888889	
0.0	33.46666666666667	8.0	32.48148148148148	21.77777777777778	-0.0	12	36	50	8.0	39.0	26.0	9	8.0	22.0	15.0	0	0	19.893816232681274	390	256.49585008621216	128	67.17948717948718	
0.0	34.0	8.0	31.75862068965517	21.310344827586206	-0.0	13	38	50	8.0	39.0	26.0	19	8.0	22.0	15.0	0	0	22.911355018615723	420	279.4072051048279	133	68.33333333333334	
0.0	34.56666666666667	8.0	33.275862068965516	22.275862068965516	-0.0	14	40	48	8.0	39.0	26.0	22	8.0	22.0	15.0	0	0	25.3006329536438	450	304.7078380584717	141	68.66666666666666	
0.0	32.56666666666667	8.0	31.571428571428573	21.178571428571427	-0.0	15	43	47	8.0	39.0	26.0	16	8.0	22.0	15.0	0	0	24.42683696746826	480	329.13467502593994	147	69.375	
0.0	34.2	8.0	33.51851851851852	22.444444444444443	-0.0	16	47	47	8.0	39.0	26.0	7	8.0	22.0	15.0	0	0	22.887136936187744	510	352.0218119621277	153	70.0	
0.0	37.13333333333333	8.0	34.7	23.2	-0.0	17	48	50	8	39	26	22	8	22	15	0	0	27.453591108322144	540	379.47540307044983	163	69.81481481481481	
0.0	38.233333333333334	8.0	34.233333333333334	22.9	-0.0	18	48	50	8	39	26	22	8	22	15	0	0	27.851388931274414	570	407.32679200172424	170	70.17543859649123	
0.0	37.766666666666666	8.0	31.9	21.4	-0.0	19	48	48	8	39	26	22	8	22	15	0	0	24.76370096206665	600	432.0904929637909	177	70.5	
0.0	38.666666666666664	8.0	30.03448275862069	20.20689655172414	-0.0	20	50	48	8.0	39.0	26.0	19	8.0	22.0	15.0	0	0	22.92590093612671	630	455.0163938999176	180	71.42857142857143	
0.0	40.6	8.0	31.633333333333333	21.233333333333334	-0.0	21	51	49	8	39	26	22	8	22	15	0	0	22.85361909866333	660	477.87001299858093	192	70.9090909090909	
0.0	40.4	8.0	31.166666666666668	20.933333333333334	-0.0	22	51	50	8	39	26	22	8	22	15	0	0	23.030529022216797	690	500.90054202079773	194	71.8840579710145	
0.0	41.36666666666667	8.0	29.366666666666667	19.766666666666666	-0.0	23	52	50	8	39	26	22	8	22	15	0	0	18.248130083084106	720	519.1486721038818	200	72.22222222222223	
0.0	40.86666666666667	8.0	28.433333333333334	19.166666666666668	-0.0	24	52	50	8	39	26	22	8	22	15	0	0	20.64858889579773	750	539.7972609996796	204	72.8	
0.0	34.1	8.0	25.862068965517242	17.517241379310345	-0.0	25	54	50	8.0	39.0	26.0	17	8.0	22.0	15.0	0	0	16.612536191940308	780	556.4097971916199	205	73.71794871794872	
0.0	29.733333333333334	8.0	23.85185185185185	16.22222222222222	-0.0	26	58	45	8.0	39.0	26.0	4	8.0	22.0	15.0	0	0	11.803508996963501	810	568.2133061885834	205	74.69135802469135	
0.0	29.3	8.0	26.214285714285715	17.75	-0.0	27	61	48	8.0	39.0	26.0	8	8.0	22.0	15.0	0	0	16.401488780975342	840	584.6147949695587	208	75.23809523809524	
0.0	30.833333333333332	8.0	28.2	19.0	-0.0	28	67	50	8.0	39.0	26.0	11	8.0	22.0	15.0	0	0	18.073337078094482	870	602.6881320476532	211	75.74712643678161	
0.0	35.1	8.0	26.275862068965516	17.75862068965517	-0.0	29	69	50	8.0	39.0	26.0	16	8.0	22.0	15.0	0	0	18.8427631855011	900	621.5308952331543	213	76.33333333333333	
0.0	35.7	8.0	24.964285714285715	16.928571428571427	-0.0	30	72	48	8.0	39.0	26.0	14	8.0	22.0	15.0	0	0	14.869818687438965	930	636.4007139205933	215	76.88172043010752	
0.0	35.7	8.0	24.964285714285715	16.928571428571427	-0.0	30	72	48	8.0	39.0	26.0	14	8.0	22.0	15.0	0	0	14.869818687438965	930	636.4007139205933	215	76.88172043010752	
