ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-0.08370425456236517	32.06666666666667	8.0	32.06666666666667	21.5	-0.0060311556023263675	0	0	39	8	39	26	22	8	22	15	0	0	80.18402886390686	30	80.18402886390686	28	6.666666666666671	
-0.0018549988423454955	31.233333333333334	8.0	30.192307692307693	20.307692307692307	-0.0008782136663155166	1	5	45	8.0	39.0	26.0	11	8.0	22.0	15.0	0	0	59.892385959625244	60	140.0764148235321	46	23.33333333333333	
-0.0003995498463965289	32.86666666666667	8.0	30.79310344827586	20.689655172413794	-0.0	2	7	49	8.0	39.0	26.0	10	8.0	22.0	15.0	0	0	174.63332200050354	90	314.70973682403564	57	36.66666666666667	
0.0	34.43333333333333	8.0	32.46666666666667	21.766666666666666	-0.0	3	8	49	8	39	26	17	8	22	15	0	0	72.92346215248108	120	387.6331989765167	71	40.833333333333336	
0.0	35.833333333333336	8.0	30.533333333333335	20.533333333333335	-0.0	4	9	47	8	39	26	24	8	22	15	0	0	510.1229979991913	150	897.756196975708	83	44.666666666666664	
0.0	36.63333333333333	8.0	31.666666666666668	21.266666666666666	-0.0	5	10	50	8	39	26	25	8	22	15	0	0	1412.84916305542	180	2310.605360031128	94	47.77777777777777	
0.0	36.36666666666667	8.0	31.0	20.833333333333332	-0.0	6	11	50	8	39	26	18	8	22	15	0	0	71.00935077667236	210	2381.6147108078003	105	50.0	
0.0	37.166666666666664	8.0	31.862068965517242	21.379310344827587	-0.0	7	13	48	8.0	39.0	26.0	18	8.0	22.0	15.0	0	0	1667.7545433044434	240	4049.3692541122437	115	52.08333333333333	
0.0	35.6	8.0	31.066666666666666	20.866666666666667	-0.0	8	13	50	8	39	26	21	8	22	15	0	0	78.09256172180176	270	4127.461815834045	125	53.7037037037037	
0.0	35.166666666666664	8.0	28.266666666666666	19.066666666666666	-0.0	9	14	50	8	39	26	21	8	22	15	0	0	7259.711412191391	300	11387.173228025436	128	57.33333333333333	
0.0	34.43333333333333	8.0	25.933333333333334	17.566666666666666	-0.0	10	15	49	8	39	26	20	8	22	15	0	0	17728.635617017746	330	29115.808845043182	131	60.303030303030305	
0.0	36.0	8.0	27.5	18.571428571428573	-0.0	11	18	47	8.0	39.0	26.0	19	8.0	22.0	15.0	0	0	55.79805779457092	360	29171.606902837753	137	61.94444444444444	
0.0	38.13333333333333	8.0	28.366666666666667	19.133333333333333	-0.0	12	18	49	8	39	26	21	8	22	15	0	0	64.61983489990234	390	29236.226737737656	140	64.1025641025641	
0.0	35.6	8.0	30.035714285714285	20.214285714285715	-0.0	13	21	49	8.0	39.0	26.0	12	8.0	22.0	15.0	0	0	985.9520392417908	420	30222.178776979446	144	65.71428571428572	
