ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
0.0002823398759408846	200.0	7.0	13.0	9.0	0.00010785477392394327	0	0	200	7	13	9	200	7	13	9	0	0	1.855186939239502	30	1.855186939239502	
0.00010424608283239322	200.23333333333332	7.0	13.0	9.0	9.582580361877646e-05	1	0	207	7	13	9	194	7	13	9	0	0	1.8559150695800781	60	3.71110200881958	
9.582580361877646e-05	199.1	7.0	13.0	9.0	9.582580361877646e-05	2	0	209	7	13	9	189	7	13	9	0	0	1.699690818786621	90	5.410792827606201	
9.582580361877646e-05	199.46666666666667	7.0	13.0	9.0	9.582580361877646e-05	3	0	210	7	13	9	188	7	13	9	0	0	1.7055749893188477	120	7.116367816925049	
9.582580361877646e-05	200.5	7.0	13.0	9.0	9.582580361877646e-05	4	0	212	7	13	9	191	7	13	9	0	0	1.736915111541748	150	8.853282928466797	
9.006479595733789e-05	202.4	7.0	13.0	9.0	8.71842921266186e-05	5	0	212	7	13	9	190	7	13	9	0	0	1.6884372234344482	180	10.541720151901245	
8.04953659107414e-05	204.13333333333333	7.0	13.0	9.0	6.210081881707907e-05	6	0	212	7	13	9	193	7	13	9	0	0	1.6803069114685059	210	12.222027063369751	
5.97774961790698e-05	204.7	7.0	13.0	9.0	5.048420562703271e-05	7	0	217	7	13	9	190	7	13	9	0	0	1.7056629657745361	240	13.927690029144287	
2.6671415860694363e-05	206.03333333333333	7.0	13.0	9.0	2.5850285179096488e-05	8	0	223	7	13	9	189	7	13	9	0	0	1.6939189434051514	270	15.621608972549438	
2.5850285179096488e-05	203.7	7.0	13.0	9.0	2.5850285179096488e-05	9	0	215	7	13	9	183	7	13	9	0	0	1.6779241561889648	300	17.299533128738403	
2.5850285179096488e-05	203.53333333333333	7.0	13.0	9.0	2.5850285179096488e-05	10	0	215	7	13	9	179	7	13	9	0	0	1.736290693283081	330	19.035823822021484	
2.5850285179096488e-05	202.63333333333333	7.0	13.0	9.0	2.5850285179096488e-05	11	0	215	7	13	9	179	7	13	9	0	0	1.6919901371002197	360	20.727813959121704	
2.5850285179096488e-05	205.73333333333332	7.0	13.0	9.0	2.5850285179096488e-05	12	0	219	7	13	9	171	7	13	9	0	0	1.6783778667449951	390	22.4061918258667	
2.5850285179096488e-05	206.96666666666667	7.0	13.0	9.0	2.5850285179096488e-05	13	0	219	7	13	9	182	7	13	9	0	0	1.6955320835113525	420	24.10172390937805	
2.5850285179096488e-05	206.9	7.0	13.0	9.0	2.5850285179096488e-05	14	0	220	7	13	9	180	7	13	9	0	0	1.8429381847381592	450	25.94466209411621	
2.5850285179096488e-05	204.96666666666667	7.0	13.0	9.0	2.5850285179096488e-05	15	0	220	7	13	9	173	7	13	9	0	0	1.8656318187713623	480	27.810293912887573	
2.5850285179096488e-05	202.5	7.0	13.0	9.0	2.5850285179096488e-05	16	0	220	7	13	9	173	7	13	9	0	0	1.8691210746765137	510	29.679414987564087	
2.5850285179096488e-05	202.4	7.0	13.0	9.0	2.5850285179096488e-05	17	0	216	7	13	9	171	7	13	9	0	0	1.854672908782959	540	31.534087896347046	
2.5850285179096488e-05	205.46666666666667	7.0	13.0	9.0	2.5850285179096488e-05	18	0	222	7	13	9	170	7	13	9	0	0	1.8072659969329834	570	33.34135389328003	
2.5850285179096488e-05	206.13333333333333	7.0	13.0	9.0	2.5850285179096488e-05	19	0	219	7	13	9	191	7	13	9	0	0	1.7791810035705566	600	35.120534896850586	
2.5850285179096488e-05	204.6	7.0	13.0	9.0	2.5850285179096488e-05	20	0	220	7	13	9	185	7	13	9	0	0	1.7970142364501953	630	36.91754913330078	
2.5850285179096488e-05	206.53333333333333	7.0	13.0	9.0	2.5850285179096488e-05	21	0	225	7	13	9	184	7	13	9	0	0	1.867757797241211	660	38.78530693054199	
2.5850285179096488e-05	204.9	7.0	13.0	9.0	2.5850285179096488e-05	22	0	221	7	13	9	186	7	13	9	0	0	1.8555328845977783	690	40.64083981513977	
2.5850285179096488e-05	200.1	7.0	13.0	9.0	2.5850285179096488e-05	23	0	217	7	13	9	186	7	13	9	0	0	1.796173095703125	720	42.437012910842896	
2.5850285179096488e-05	200.53333333333333	7.0	13.0	9.0	2.5850285179096488e-05	24	0	213	7	13	9	182	7	13	9	0	0	1.7477309703826904	750	44.184743881225586	
2.5850285179096488e-05	199.83333333333334	7.0	13.0	9.0	2.5850285179096488e-05	25	0	220	7	13	9	187	7	13	9	0	0	1.8206572532653809	780	46.00540113449097	
2.5850285179096488e-05	200.5	7.0	13.0	9.0	2.5850285179096488e-05	26	0	218	7	13	9	187	7	13	9	0	0	1.764340877532959	810	47.769742012023926	
2.5850285179096488e-05	200.96666666666667	7.0	13.0	9.0	2.5850285179096488e-05	27	0	214	7	13	9	185	7	13	9	0	0	1.727165937423706	840	49.49690794944763	
2.5850285179096488e-05	201.63333333333333	7.0	13.0	9.0	2.5850285179096488e-05	28	0	213	7	13	9	185	7	13	9	0	0	1.7174599170684814	870	51.21436786651611	
2.5850285179096488e-05	201.46666666666667	7.0	13.0	9.0	2.5850285179096488e-05	29	0	215	7	13	9	185	7	13	9	0	0	1.7485918998718262	900	52.96295976638794	
2.5850285179096488e-05	202.3	7.0	13.0	9.0	2.5850285179096488e-05	30	0	214	7	13	9	188	7	13	9	0	0	1.7196972370147705	930	54.68265700340271	
