ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-3.5854016629978656	30.3	8.0	30.3	20.366666666666667	-2.4523943446652336	0	0	39	8	39	26	22	8	22	15	0	0	4.417004585266113	30	4.417004585266113	28	6.666666666666671	
-2.346639265603663	30.933333333333334	8.0	27.75	18.714285714285715	-2.2536650658331827	1	3	49	8.0	39.0	26.0	12	8.0	22.0	15.0	0	0	3.5231852531433105	60	7.940189838409424	42	30.0	
-2.2014560761700137	27.966666666666665	8.0	26.76923076923077	18.076923076923077	-2.145894880272959	2	8	48	8.0	36.0	24.0	14	8.0	22.0	15.0	0	0	2.9276859760284424	90	10.867875814437866	49	45.55555555555556	
-2.127146675924747	29.633333333333333	8.0	25.79310344827586	17.448275862068964	-2.085645972965431	3	10	43	8.0	36.0	24.0	14	8.0	22.0	15.0	0	0	3.2199158668518066	120	14.087791681289673	53	55.833333333333336	
-2.0189676479249727	32.86666666666667	8.0	28.035714285714285	18.892857142857142	-1.9555338671657165	4	13	50	8.0	39.0	26.0	13	8.0	22.0	15.0	0	0	3.8582630157470703	150	17.946054697036743	60	60.0	
-1.952438349323424	32.9	8.0	31.59259259259259	21.185185185185187	-1.9478769131161582	5	17	50	8.0	39.0	26.0	19	8.0	22.0	15.0	0	0	4.7690110206604	180	22.715065717697144	65	63.88888888888889	
-1.9470210999322757	35.43333333333333	8.0	31.833333333333332	21.333333333333332	-1.9461503928489923	6	18	50	8	39	26	21	8	22	15	0	0	4.625927209854126	210	27.34099292755127	77	63.333333333333336	
-1.888565696534499	33.6	8.0	31.928571428571427	21.392857142857142	-1.8096314235436641	7	21	47	8.0	39.0	26.0	15	8.0	22.0	15.0	0	0	4.47654390335083	240	31.8175368309021	85	64.58333333333333	
-1.7144269917526072	34.7	8.0	32.2	21.566666666666666	-1.6507804070370686	8	21	50	8	39	26	16	8	22	15	0	0	4.912605047225952	270	36.73014187812805	92	65.92592592592592	
-1.6482540302621504	34.1	8.0	32.03846153846154	21.46153846153846	-1.6465269876803323	9	26	50	8.0	36.0	24.0	16	8.0	22.0	15.0	0	0	4.292536020278931	300	41.02267789840698	98	67.33333333333334	
-1.6412385768945654	38.03333333333333	8.0	29.642857142857142	19.928571428571427	-1.5723849963497725	10	29	50	8.0	39.0	26.0	13	8.0	22.0	15.0	0	0	4.119596004486084	330	45.142273902893066	105	68.18181818181819	
-1.5375228997103874	38.233333333333334	8.0	25.4	17.2	-1.4193086234024048	11	29	49	8	36	24	24	8	22	15	0	0	3.417292833328247	360	48.55956673622131	109	69.72222222222223	
-1.3976722067457057	38.53333333333333	8.0	27.533333333333335	18.566666666666666	-1.38371423615293	12	29	48	8	39	26	24	8	22	15	0	0	4.160060167312622	390	52.719626903533936	113	71.02564102564102	
-1.378842507056883	39.06666666666667	8.0	27.533333333333335	18.566666666666666	-1.375442419689627	13	29	50	8	39	26	22	8	22	15	0	0	4.12165093421936	420	56.841277837753296	117	72.14285714285714	
-1.2708358535621807	37.03333333333333	8.0	26.433333333333334	17.866666666666667	-1.165567378582406	14	30	50	8	36	24	22	8	22	15	0	0	3.344778060913086	450	60.18605589866638	118	73.77777777777777	
-0.9926110111675972	34.63333333333333	8.0	25.666666666666668	17.366666666666667	-0.886259634945866	15	30	45	8	36	24	15	8	22	15	0	0	3.9825689792633057	480	64.16862487792969	123	74.375	
-0.22617840350175591	35.233333333333334	8.0	30.413793103448278	20.413793103448278	-0.032404240538106865	16	32	46	8.0	39.0	26.0	15	8.0	22.0	15.0	0	0	5.045286178588867	510	69.21391105651855	127	75.09803921568627	
-0.017789447409176175	35.93333333333333	8.0	30.535714285714285	20.5	-0.010403980659330347	17	35	50	8.0	39.0	26.0	18	8.0	22.0	15.0	0	0	4.474023818969727	540	73.68793487548828	130	75.92592592592592	
-0.007682589242002269	37.333333333333336	8.0	28.9	19.466666666666665	-0.004720001563182752	18	36	49	8	39	26	20	8	22	15	0	0	3.707818031311035	570	77.39575290679932	133	76.66666666666667	
-0.00363700892852122	36.56666666666667	8.0	31.333333333333332	21.033333333333335	-0.0018090042833134312	19	36	50	8	39	26	22	8	22	15	0	0	4.249243974685669	600	81.64499688148499	139	76.83333333333334	
-0.0009370354735094288	36.266666666666666	8.0	32.827586206896555	22.0	-0.000412110525527698	20	38	50	8.0	39.0	26.0	16	8.0	22.0	15.0	0	0	4.296839714050293	630	85.94183659553528	151	76.03174603174602	
-0.0002512039715836245	35.6	8.0	29.862068965517242	20.103448275862068	-0.00012082166653160087	21	40	50	8.0	39.0	26.0	16	8.0	22.0	15.0	0	0	3.4577231407165527	660	89.39955973625183	156	76.36363636363636	
-3.0925385065063833	32.6	8.0	30.066666666666666	20.233333333333334	-8.697794972123418e-05	22	41	49	8	39	26	17	8	22	15	0	0	3.8353822231292725	690	93.2349419593811	162	76.52173913043478	
-2.4431935794589825	30.733333333333334	8.0	27.62962962962963	18.666666666666668	-8.697794972123418e-05	23	45	50	8.0	39.0	26.0	7	8.0	22.0	15.0	0	0	2.958091974258423	720	96.19303393363953	167	76.80555555555556	
-3.1271006913144634	31.766666666666666	8.0	28.75862068965517	19.379310344827587	-8.697794972123418e-05	24	47	47	8.0	39.0	26.0	15	8.0	22.0	15.0	0	0	3.5404880046844482	750	99.73352193832397	170	77.33333333333334	
-2.2493319376146506	32.53333333333333	8.0	31.444444444444443	21.11111111111111	-8.697794972123418e-05	25	51	46	8.0	39.0	26.0	15	8.0	22.0	15.0	0	0	4.200505018234253	780	103.93402695655823	175	77.56410256410257	
-1.9772507177556995	28.466666666666665	8.0	29.821428571428573	20.071428571428573	-8.697794972123418e-05	26	54	45	8.0	39.0	26.0	11	8.0	22.0	15.0	0	0	3.899789810180664	810	107.83381676673889	178	78.0246913580247	
-1.1917345099134442	29.066666666666666	8.0	30.76	20.68	-8.697794972123418e-05	27	60	49	8.0	39.0	26.0	4	8.0	22.0	15.0	0	0	3.5782580375671387	840	111.41207480430603	184	78.0952380952381	
-0.17147357615981682	28.6	8.0	30.107142857142858	20.25	-8.697794972123418e-05	28	63	48	8.0	39.0	26.0	6	8.0	22.0	15.0	0	0	3.7848730087280273	870	115.19694781303406	190	78.16091954022988	
