ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-0.05402195949289615	29.1	8.0	29.1	19.6	-0.029994119234733798	0	0	39	8	39	26	22	8	22	15	0	0	14.525113105773926	30	14.525113105773926	25	16.666666666666657	
-0.02911000956824215	29.4	8.0	32.51851851851852	21.814814814814813	-0.006910958194650885	1	4	49	8.0	39.0	26.0	11	8.0	22.0	15.0	0	0	14.924665927886963	60	29.44977903366089	44	26.66666666666667	
-0.006910958194650883	30.266666666666666	8.0	31.413793103448278	21.103448275862068	-0.006910958194650885	2	6	43	8.0	39.0	26.0	17	8.0	22.0	15.0	0	0	14.631685972213745	90	44.081465005874634	53	41.11111111111111	
-0.0002383089032638236	30.2	8.0	27.93103448275862	18.862068965517242	-0.0	3	8	42	8.0	39.0	26.0	17	8.0	22.0	15.0	0	0	13.134078025817871	120	57.215543031692505	64	46.666666666666664	
0.0	31.4	8.0	27.333333333333332	18.48148148148148	-0.0	4	12	49	8.0	39.0	26.0	4	8.0	22.0	15.0	0	0	13.292506217956543	150	70.50804924964905	69	54.0	
0.0	31.7	8.0	28.185185185185187	19.0	-0.0	5	16	49	8.0	39.0	26.0	11	8.0	22.0	15.0	0	0	14.015177965164185	180	84.52322721481323	73	59.44444444444444	
0.0	36.46666666666667	8.0	26.833333333333332	18.133333333333333	-0.0	6	17	48	8	39	26	18	8	22	15	0	0	14.106525897979736	210	98.62975311279297	78	62.857142857142854	
0.0	38.53333333333333	8.0	32.63333333333333	21.866666666666667	-0.0	7	17	47	8	39	26	21	8	25	17	0	0	18.950623989105225	240	117.5803771018982	88	63.333333333333336	
0.0	34.8	8.0	31.964285714285715	21.428571428571427	-0.0	8	20	48	8.0	39.0	26.0	17	8.0	22.0	15.0	0	0	17.354784965515137	270	134.93516206741333	98	63.7037037037037	
0.0	34.8	8.0	31.133333333333333	20.9	-0.0	9	21	48	8	39	26	19	8	22	15	0	0	19.027570009231567	300	153.9627320766449	105	65.0	
0.0	33.833333333333336	8.0	31.4	21.066666666666666	-0.0	10	22	46	8	39	26	21	8	22	15	0	0	19.50539994239807	330	173.46813201904297	108	67.27272727272728	
0.0	34.46666666666667	8.0	31.75	21.285714285714285	-0.0	11	25	46	8.0	36.0	24.0	12	8.0	22.0	15.0	0	0	18.07227087020874	360	191.5404028892517	118	67.22222222222223	
0.0	35.833333333333336	8.0	32.6	21.833333333333332	-0.0	12	25	49	8	39	26	19	8	22	15	0	0	19.729607343673706	390	211.27001023292542	128	67.17948717948718	
0.0	36.13333333333333	8.0	32.43333333333333	21.733333333333334	-0.0	13	26	47	8	39	26	19	8	22	15	0	0	19.268293857574463	420	230.53830409049988	137	67.38095238095238	
0.0	37.233333333333334	8.0	32.86666666666667	22.0	-0.0	14	27	47	8	39	26	17	8	22	15	0	0	20.473999977111816	450	251.0123040676117	146	67.55555555555556	
0.0	38.36666666666667	8.0	34.0	22.733333333333334	-0.0	15	28	50	8	39	26	17	8	22	15	0	0	20.15600299835205	480	271.16830706596375	153	68.125	
0.0	38.1	8.0	32.58620689655172	21.82758620689655	-0.0	16	30	50	8.0	39.0	26.0	13	8.0	22.0	15.0	0	0	18.36129593849182	510	289.52960300445557	159	68.82352941176471	
0.0	41.03333333333333	8.0	33.2	22.233333333333334	-0.0	17	30	50	8	39	26	26	8	22	15	0	0	19.311904191970825	540	308.8415071964264	164	69.62962962962963	
0.0	40.2	8.0	35.06666666666667	23.433333333333334	-0.0	18	31	50	8	39	26	28	8	25	17	0	0	19.56534481048584	570	328.40685200691223	172	69.82456140350877	
0.0	40.93333333333333	8.0	33.63333333333333	22.5	-0.0	19	31	50	8	39	26	33	8	25	17	0	0	20.73193097114563	600	349.13878297805786	178	70.33333333333333	
0.0	39.666666666666664	8.0	31.233333333333334	20.966666666666665	-0.0	20	31	50	8	39	26	25	8	22	15	0	0	18.531482219696045	630	367.6702651977539	179	71.5873015873016	
0.0	36.3	8.0	31.966666666666665	21.433333333333334	-0.0	21	31	45	8	39	26	21	8	22	15	0	0	17.66000986099243	660	385.33027505874634	182	72.42424242424242	
0.0	38.233333333333334	8.0	31.033333333333335	20.833333333333332	-0.0	22	32	50	8	39	26	21	8	22	15	0	0	16.840195894241333	690	402.17047095298767	185	73.18840579710144	
0.0	37.13333333333333	8.0	29.633333333333333	19.933333333333334	-0.0	23	33	50	8	39	26	21	8	22	15	0	0	17.478826999664307	720	419.649297952652	191	73.47222222222223	
0.0	33.8	8.0	28.2	19.0	-0.0	24	33	46	8	39	26	17	8	22	15	0	0	14.025645971298218	750	433.6749439239502	193	74.26666666666667	
0.0	33.86666666666667	8.0	27.321428571428573	18.428571428571427	-0.0	25	36	49	8.0	36.0	24.0	15	8.0	22.0	15.0	0	0	13.812130212783813	780	447.487074136734	194	75.12820512820512	
0.0	34.4	8.0	26.966666666666665	18.2	-0.0	26	36	45	8	39	26	18	8	22	15	0	0	14.357778787612915	810	461.8448529243469	196	75.80246913580247	
0.0	30.466666666666665	8.0	27.11111111111111	18.296296296296298	-0.0	27	40	50	8.0	36.0	24.0	16	8.0	22.0	15.0	0	0	12.249975204467773	840	474.0948281288147	198	76.42857142857143	
0.0	34.0	8.0	26.93103448275862	18.17241379310345	-0.0	28	42	50	8.0	36.0	24.0	16	8.0	22.0	15.0	0	0	14.681691884994507	870	488.7765200138092	200	77.01149425287356	
0.0	36.0	8.0	27.9	18.8	-0.0	29	42	50	8	39	26	16	8	22	15	0	0	15.92833924293518	900	504.7048592567444	203	77.44444444444444	
0.0	35.43333333333333	8.0	30.133333333333333	20.233333333333334	-0.0	30	43	45	8	39	26	23	8	22	15	0	0	16.161690711975098	930	520.8665499687195	204	78.06451612903226	
0.0	35.43333333333333	8.0	30.133333333333333	20.233333333333334	-0.0	30	43	45	8	39	26	23	8	22	15	0	0	16.161690711975098	930	520.8665499687195	204	78.06451612903226	
