ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-2.721298977833589	31.833333333333332	8.0	31.833333333333332	21.366666666666667	-1.2034056267442605	0	0	39	8	39	26	22	8	22	15	0	0	2.7121031284332275	30	2.7121031284332275	29	3.3333333333333286	
-0.983672526777373	32.6	8.0	28.125	18.958333333333332	-0.3249939594574873	1	7	48	8.0	39.0	26.0	13	8.0	22.0	15.0	0	0	1.9405808448791504	60	4.652683973312378	48	20.0	
-0.15783675931429433	36.3	8.0	25.7	17.4	-0.1013215551885378	2	7	49	8	39	26	22	8	22	15	0	0	2.0951192378997803	90	6.747803211212158	61	32.222222222222214	
-0.07185539559459059	37.53333333333333	8.0	29.0	19.533333333333335	-0.04943863485509015	3	7	48	8	39	26	23	8	22	15	0	0	2.4039077758789062	120	9.151710987091064	81	32.5	
-0.03416489624332894	34.96666666666667	8.0	27.566666666666666	18.6	-0.025762342715325293	4	7	48	8	39	26	23	8	22	15	0	0	2.294462203979492	150	11.446173191070557	97	35.33333333333334	
-0.01759980530162529	34.5	8.0	29.233333333333334	19.666666666666668	-0.010785370111439097	5	7	48	8	39	26	17	8	22	15	0	0	2.160195827484131	180	13.606369018554688	113	37.22222222222222	
-0.009958774351323533	31.766666666666666	8.0	29.620689655172413	19.93103448275862	-0.009863397917464045	6	9	50	8.0	39.0	26.0	18	8.0	22.0	15.0	0	0	2.06233286857605	210	15.668701887130737	129	38.57142857142857	
-0.009713903431133245	35.13333333333333	8.0	29.733333333333334	20.0	-0.009068615457906493	7	10	50	8	39	26	17	8	22	15	0	0	2.234157085418701	240	17.90285897254944	140	41.666666666666664	
-0.008004600343017495	33.06666666666667	8.0	28.066666666666666	18.933333333333334	-0.007506183130648214	8	10	50	8	39	26	18	8	22	15	0	0	2.2041831016540527	270	20.10704207420349	152	43.7037037037037	
-0.007165407538503832	35.3	8.0	31.233333333333334	20.966666666666665	-0.006727226086149063	9	10	49	8	39	26	17	8	22	15	0	0	2.5511748790740967	300	22.658216953277588	162	46.0	
-0.005540478208078022	37.4	8.0	31.666666666666668	21.233333333333334	-0.004758728960386538	10	11	50	8	36	24	20	8	22	15	0	0	2.700078010559082	330	25.35829496383667	173	47.57575757575757	
-0.004414582484907678	37.93333333333333	8.0	31.833333333333332	21.333333333333332	-0.0035163465319887344	11	12	49	8	36	24	24	8	22	15	0	0	2.4315152168273926	360	27.789810180664062	185	48.611111111111114	
-0.0030949241820824075	38.333333333333336	8.0	30.266666666666666	20.333333333333332	-0.003004140990548354	12	13	48	8	39	26	24	8	22	15	0	0	2.0690550804138184	390	29.85886526107788	193	50.51282051282051	
-0.0026362040837921265	38.86666666666667	8.0	31.833333333333332	21.333333333333332	-0.0023904139276820224	13	14	50	8	39	26	26	8	22	15	0	0	2.1370999813079834	420	31.995965242385864	207	50.71428571428571	
-0.0020759845132653906	36.43333333333333	8.0	31.0	20.8	-0.0016703525122179208	14	15	48	8	36	24	21	8	22	15	0	0	2.215151786804199	450	34.21111702919006	221	50.888888888888886	
-0.0016703525122179208	31.933333333333334	8.0	31.37037037037037	21.037037037037038	-0.0016703525122179208	15	19	48	8.0	39.0	26.0	7	8.0	22.0	15.0	0	0	1.9958641529083252	480	36.20698118209839	226	52.916666666666664	
-0.001549498554125593	32.06666666666667	8.0	30.535714285714285	20.5	-0.0013627242552556318	16	22	48	8.0	39.0	26.0	15	8.0	22.0	15.0	0	0	2.0914108753204346	510	38.29839205741882	240	52.94117647058824	
-0.001338066615596052	31.166666666666668	8.0	30.08	20.2	-0.0011572439247591326	17	28	50	8.0	36.0	24.0	13	8.0	22.0	15.0	0	0	1.8259940147399902	540	40.12438607215881	249	53.888888888888886	
-0.001061874414770715	34.733333333333334	8.0	28.862068965517242	19.413793103448278	-0.0008981435305419616	18	30	50	8.0	36.0	24.0	13	8.0	22.0	15.0	0	0	1.935995101928711	570	42.060381174087524	259	54.561403508771924	
-0.0007816350328047597	32.266666666666666	8.0	27.137931034482758	18.310344827586206	-0.0007730047737131152	19	32	48	8.0	39.0	26.0	18	8.0	22.0	15.0	0	0	1.8416967391967773	600	43.9020779132843	263	56.166666666666664	
-0.0007730047737131152	32.666666666666664	8.0	25.379310344827587	17.17241379310345	-0.0007730047737131152	20	34	49	8.0	36.0	24.0	14	8.0	22.0	15.0	0	0	1.9214520454406738	630	45.823529958724976	266	57.77777777777778	
-0.0007730047737131152	35.36666666666667	8.0	25.482758620689655	17.24137931034483	-0.0007730047737131152	21	36	49	8.0	36.0	24.0	11	8.0	22.0	15.0	0	0	1.8922972679138184	660	47.715827226638794	272	58.78787878787879	
-0.0007730047737131152	35.13333333333333	8.0	26.033333333333335	17.6	-0.0007730047737131152	22	36	49	8	36	24	21	8	22	15	0	0	1.9926888942718506	690	49.708516120910645	280	59.42028985507246	
-0.0007730047737131152	36.5	8.0	27.82758620689655	18.75862068965517	-0.0007730047737131152	23	38	50	8.0	39.0	26.0	18	8.0	22.0	15.0	0	0	2.073853015899658	720	51.7823691368103	285	60.41666666666667	
-0.0007056803097445829	34.733333333333334	8.0	28.966666666666665	19.5	-0.0006821248092632182	24	39	50	8	39	26	20	8	22	15	0	0	2.120711088180542	750	53.903080224990845	290	61.333333333333336	
-0.0006780220334400807	33.9	8.0	29.233333333333334	19.666666666666668	-0.0006765301149589398	25	39	50	8	39	26	19	8	22	15	0	0	2.2129218578338623	780	56.11600208282471	299	61.666666666666664	
-0.0006765301149589398	32.166666666666664	8.0	27.607142857142858	18.607142857142858	-0.0006765301149589398	26	42	50	8.0	39.0	26.0	12	8.0	22.0	15.0	0	0	1.9855329990386963	810	58.1015350818634	304	62.46913580246913	
-0.0006765301149589398	30.933333333333334	8.0	26.4	17.833333333333332	-0.0006765301149589398	27	43	47	8	39	26	18	8	22	15	0	0	1.9795548915863037	840	60.08108997344971	311	62.976190476190474	
-0.0006765301149589398	30.9	8.0	25.214285714285715	17.071428571428573	-0.0006765301149589398	28	46	49	8.0	39.0	26.0	13	8.0	22.0	15.0	0	0	1.8836140632629395	870	61.96470403671265	313	64.02298850574712	
-0.0006765301149589398	35.1	8.0	26.033333333333335	17.6	-0.0006765301149589398	29	47	49	8	39	26	20	8	22	15	0	0	1.9637911319732666	900	63.92849516868591	320	64.44444444444444	
-0.0006765301149589398	34.36666666666667	8.0	26.6	17.966666666666665	-0.0006765301149589398	30	47	49	8	39	26	22	8	22	15	0	0	2.140814781188965	930	66.06930994987488	327	64.83870967741936	
-0.0006765301149589398	34.36666666666667	8.0	26.6	17.966666666666665	-0.0006765301149589398	30	47	49	8	39	26	22	8	22	15	0	0	2.140814781188965	930	66.06930994987488	327	64.83870967741936	
