ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-12.788664055559815	55.56666666666667	8.0	57.96666666666667	37.2	-12.9454807430687	0	0	76	8	81	51	36	8	36	24	0	0	0.493056058883667	30	0.493056058883667	29	3.3333333333333286	
-12.945480743068698	46.43333333333333	8.0	48.464285714285715	31.071428571428573	-12.9454807430687	1	3	76	8.0	81.0	51.0	35	8.0	36.0	24.0	0	0	0.7954659461975098	60	1.2885220050811768	42	30.0	
-12.945480743068696	44.06666666666667	8.0	45.4	29.4	-12.9454807430687	2	4	76	8	81	51	35	8	36	24	0	0	0.349445104598999	90	1.6379671096801758	46	48.88888888888889	
-12.945480743068696	43.6	8.0	45.5	29.4	-12.9454807430687	3	5	76	8	81	51	27	8	36	24	0	0	0.37253880500793457	120	2.0105059146881104	52	56.666666666666664	
-13.053188140577669	40.7	8.0	43.266666666666666	28.2	-13.19299984910707	4	6	76	8	81	51	29	8	36	24	0	0	0.39020705223083496	150	2.4007129669189453	60	60.0	
-13.192999849107071	38.8	8.0	41.925925925925924	27.333333333333332	-13.19299984910707	5	10	49	8.0	52.0	33.0	14	8.0	36.0	24.0	0	0	0.30475521087646484	180	2.70546817779541	69	61.666666666666664	
-13.192999849107071	39.2	8.0	40.86206896551724	26.79310344827586	-13.19299984910707	6	12	50	8.0	65.0	42.0	23	8.0	36.0	24.0	0	0	0.3876817226409912	210	3.0931499004364014	75	64.28571428571428	
-13.192999849107073	39.3	8.0	40.266666666666666	26.4	-13.19299984910707	7	13	50	8	52	33	26	8	36	24	0	0	0.3659090995788574	240	3.459059000015259	80	66.66666666666667	
-13.192999849107071	38.06666666666667	8.0	41.81481481481482	27.333333333333332	-13.19299984910707	8	17	48	8.0	65.0	42.0	26	8.0	36.0	24.0	0	0	0.3045651912689209	270	3.7636241912841797	83	69.25925925925927	
-13.192999849107071	37.4	8.0	41.53846153846154	27.115384615384617	-13.19299984910707	9	22	50	8.0	52.0	33.0	19	8.0	36.0	24.0	0	0	0.3448948860168457	300	4.108519077301025	86	71.33333333333333	
-13.192999849107071	38.2	8.0	39.86206896551724	26.17241379310345	-13.19299984910707	10	24	50	8.0	52.0	33.0	26	8.0	36.0	24.0	0	0	0.2967839241027832	330	4.405303001403809	88	73.33333333333333	
-13.192999849107073	37.8	8.0	44.0	28.5	-13.19299984910707	11	25	47	8	52	33	24	8	36	24	0	0	0.3208582401275635	360	4.726161241531372	89	75.27777777777777	
-13.192999849107071	37.8	8.0	46.074074074074076	29.666666666666668	-13.19299984910707	12	29	50	8.0	52.0	33.0	18	8.0	36.0	24.0	0	0	0.29843664169311523	390	5.024597883224487	93	76.15384615384616	
-13.192999849107071	36.36666666666667	8.0	47.03448275862069	30.20689655172414	-13.19299984910707	13	31	50	8.0	52.0	33.0	24	8.0	36.0	24.0	0	0	0.3038160800933838	420	5.328413963317871	94	77.61904761904762	
-13.192999849107071	34.46666666666667	8.0	46.074074074074076	29.666666666666668	-13.19299984910707	14	35	43	8.0	52.0	33.0	20	8.0	36.0	24.0	0	0	0.2783091068267822	450	5.606723070144653	96	78.66666666666666	
-13.192999849107071	34.666666666666664	8.0	44.61538461538461	28.846153846153847	-13.19299984910707	15	40	49	8.0	52.0	33.0	13	8.0	36.0	24.0	0	0	0.27785181999206543	480	5.884574890136719	96	80.0	
-13.19299984910707	34.46666666666667	8.0	44.0	28.5	-13.19299984910707	16	47	49	8.0	52.0	33.0	16	8.0	36.0	24.0	0	0	0.2606163024902344	510	6.145191192626953	96	81.17647058823529	
-13.192999849107071	35.56666666666667	8.0	45.6	29.4	-13.19299984910707	17	53	48	8.0	52.0	33.0	21	8.0	36.0	24.0	0	0	0.2654910087585449	540	6.410682201385498	100	81.48148148148148	
-13.192999849107071	37.2	8.0	47.8	30.84	-13.19299984910707	18	59	50	8.0	65.0	42.0	22	8.0	36.0	24.0	0	0	0.25273585319519043	570	6.6634180545806885	104	81.75438596491227	
-13.192999849107073	38.6	8.0	44.53333333333333	28.8	-13.19299984910707	19	60	50	8	52	33	28	8	36	24	0	0	0.309689998626709	600	6.9731080532073975	104	82.66666666666666	
-13.192999849107071	37.9	8.0	44.57142857142857	28.821428571428573	-13.19299984910707	20	63	50	8.0	52.0	33.0	25	8.0	36.0	24.0	0	0	0.29256200790405273	630	7.26567006111145	104	83.4920634920635	
-13.201279502232584	39.13333333333333	8.0	48.92307692307692	31.26923076923077	-13.223752846430411	21	68	50	8.0	52.0	33.0	22	8.0	36.0	24.0	0	0	0.2872741222381592	660	7.552944183349609	104	84.24242424242425	
-13.223752846430406	38.733333333333334	8.0	49.142857142857146	31.392857142857142	-13.223752846430411	22	71	48	8.0	52.0	33.0	26	8.0	36.0	24.0	0	0	0.30521488189697266	690	7.858159065246582	107	84.4927536231884	
-13.223752846430406	37.86666666666667	8.0	50.3448275862069	32.06896551724138	-13.223752846430411	23	73	48	8.0	52.0	33.0	32	8.0	36.0	24.0	0	0	0.30452513694763184	720	8.162684202194214	108	85.0	
-13.223752846430406	38.5	8.0	49.793103448275865	31.75862068965517	-13.223752846430411	24	75	48	8.0	52.0	33.0	28	8.0	36.0	24.0	0	0	0.2980480194091797	750	8.460732221603394	110	85.33333333333333	
-13.223752846430408	39.96666666666667	8.0	48.92307692307692	31.26923076923077	-13.223752846430411	25	80	50	8.0	52.0	33.0	30	8.0	36.0	24.0	0	0	0.27878570556640625	780	8.7395179271698	111	85.76923076923077	
-13.22375284643041	39.3	8.0	50.0	31.875	-13.223752846430411	26	87	50	8.0	52.0	33.0	28	8.0	36.0	24.0	0	0	0.27211523056030273	810	9.011633157730103	113	86.04938271604938	
-13.223752846430406	41.4	8.0	50.3448275862069	32.06896551724138	-13.223752846430411	27	89	49	8.0	52.0	33.0	33	8.0	36.0	24.0	0	0	0.3126800060272217	840	9.324313163757324	113	86.54761904761905	
-13.223752846430406	42.1	8.0	50.241379310344826	32.06896551724138	-13.223752846430411	28	91	50	8.0	65.0	42.0	34	8.0	36.0	24.0	0	0	0.3087198734283447	870	9.633033037185669	114	86.89655172413794	
