ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-12.959106055991803	58.733333333333334	8.0	61.3	39.3	-12.999033560134615	0	0	76	8	81	51	36	8	36	24	0	0	2.889739751815796	30	2.889739751815796	30	0.0	
-13.047091824984642	40.06666666666667	8.0	47.28	30.48	-13.070538382703555	1	6	76	8.0	81.0	51.0	23	8.0	36.0	24.0	0	0	2.0361430644989014	60	4.925882816314697	44	26.66666666666667	
-13.070538382703553	39.06666666666667	8.0	45.06666666666667	29.1	-13.070538382703555	2	7	50	8	52	33	32	8	36	24	0	0	2.6645922660827637	90	7.590475082397461	55	38.888888888888886	
-13.440973999116258	39.4	8.0	48.0	30.75	-13.521503480945109	3	10	50	8.0	52.0	33.0	24	8.0	36.0	24.0	0	0	6.002076864242554	120	13.592551946640015	59	50.833333333333336	
-13.52150348094511	37.03333333333333	8.0	45.714285714285715	29.464285714285715	-13.521503480945109	4	13	48	8.0	52.0	33.0	24	8.0	36.0	24.0	0	0	4.988796949386597	150	18.58134889602661	65	56.666666666666664	
-13.52150348094511	38.93333333333333	8.0	43.7037037037037	28.333333333333332	-13.521503480945109	5	17	50	8.0	52.0	33.0	22	8.0	36.0	24.0	0	0	2.6625399589538574	180	21.24388885498047	69	61.666666666666664	
-13.52150348094511	39.03333333333333	8.0	42.17857142857143	27.535714285714285	-13.521503480945109	6	20	50	8.0	65.0	42.0	29	8.0	36.0	24.0	0	0	2.191810131072998	210	23.435698986053467	72	65.71428571428572	
-13.52150348094511	41.6	8.0	42.06896551724138	27.413793103448278	-13.521503480945109	7	22	50	8.0	52.0	33.0	30	8.0	36.0	24.0	0	0	2.1896278858184814	240	25.62532687187195	74	69.16666666666666	
-13.52150348094511	36.06666666666667	8.0	39.55555555555556	26.0	-13.521503480945109	8	26	49	8.0	52.0	33.0	15	8.0	36.0	24.0	0	0	2.5324788093566895	270	28.157805681228638	75	72.22222222222223	
-13.52150348094511	38.2	8.0	39.310344827586206	25.862068965517242	-13.521503480945109	9	28	48	8.0	52.0	33.0	25	8.0	36.0	24.0	0	0	2.197232246398926	300	30.355037927627563	77	74.33333333333334	
-13.52150348094511	38.666666666666664	8.0	39.55555555555556	26.0	-13.521503480945109	10	32	50	8.0	52.0	33.0	27	8.0	36.0	24.0	0	0	2.1542699337005615	330	32.509307861328125	79	76.06060606060606	
-13.52150348094511	40.43333333333333	8.0	39.07692307692308	25.73076923076923	-13.521503480945109	11	37	49	8.0	52.0	33.0	27	8.0	36.0	24.0	0	0	1.8714938163757324	360	34.38080167770386	80	77.77777777777777	
