ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-0.003975701458361354	31.8	8.0	31.8	21.333333333333332	-0.0	0	0	39	8	39	26	22	8	22	15	0	0	24.98014807701111	30	24.98014807701111	30	0.0	
0.0	28.933333333333334	8.0	28.46153846153846	19.192307692307693	-0.0	1	5	44	8.0	39.0	26.0	16	8.0	22.0	15.0	0	0	15.513906955718994	60	40.4940550327301	52	13.333333333333329	
0.0	30.233333333333334	8.0	27.678571428571427	18.678571428571427	-0.0	2	8	48	8.0	39.0	26.0	9	8.0	22.0	15.0	0	0	18.109649181365967	90	58.60370421409607	65	27.777777777777786	
0.0	32.166666666666664	8.0	33.758620689655174	22.586206896551722	-0.0	3	10	50	8.0	39.0	26.0	5	8.0	25.0	17.0	0	0	24.797224760055542	120	83.40092897415161	78	35.0	
0.0	33.93333333333333	8.0	32.892857142857146	22.035714285714285	-0.0	4	13	49	8.0	39.0	26.0	10	8.0	22.0	15.0	0	0	20.503656148910522	150	103.90458512306213	93	38.0	
0.0	36.36666666666667	8.0	32.63333333333333	21.866666666666667	-0.0	5	13	49	8	39	26	18	8	22	15	0	0	21.730767965316772	180	125.6353530883789	107	40.55555555555556	
0.0	33.266666666666666	8.0	29.72	20.0	-0.0	6	19	49	8.0	39.0	26.0	6	8.0	22.0	15.0	0	0	16.865327835083008	210	142.5006809234619	119	43.333333333333336	
0.0	39.7	8.0	29.1	19.6	-0.0	7	19	49	8	39	26	20	8	22	15	0	0	20.954514980316162	240	163.45519590377808	135	43.75	
0.0	38.7	8.0	30.4	20.433333333333334	-0.0	8	20	50	8	39	26	15	8	22	15	0	0	21.446001291275024	270	184.9011971950531	148	45.18518518518518	
0.0	41.56666666666667	8.0	32.7	21.9	-0.0	9	21	50	8	39	26	15	8	22	15	0	0	24.456877946853638	300	209.35807514190674	165	44.99999999999999	
0.0	43.266666666666666	8.0	29.533333333333335	19.866666666666667	-0.0	10	21	50	8	39	26	32	8	22	15	0	0	20.547348022460938	330	229.90542316436768	177	46.36363636363636	
0.0	42.56666666666667	8.0	28.133333333333333	18.966666666666665	-0.0	11	21	50	8	39	26	27	8	22	15	0	0	20.5948269367218	360	250.50025010108948	192	46.666666666666664	
0.0	42.666666666666664	8.0	28.8	19.4	-0.0	12	21	50	8	39	26	27	8	22	15	0	0	21.669640064239502	390	272.169890165329	205	47.43589743589743	
0.0	42.266666666666666	8.0	26.666666666666668	18.033333333333335	-0.0	13	21	50	8	39	26	29	8	22	15	0	0	18.637829780578613	420	290.8077199459076	216	48.57142857142858	
0.0	42.166666666666664	8.0	27.666666666666668	18.666666666666668	-0.0	14	21	50	8	39	26	24	8	22	15	0	0	17.349491357803345	450	308.15721130371094	226	49.77777777777778	
0.0	43.833333333333336	8.0	31.033333333333335	20.833333333333332	-0.0	15	21	50	8	39	26	33	8	22	15	0	0	22.111429691314697	480	330.26864099502563	237	50.625	
0.0	44.166666666666664	8.0	28.666666666666668	19.3	-0.0	16	21	50	8	39	26	33	8	22	15	0	0	19.462018251419067	510	349.7306592464447	245	51.96078431372549	
0.0	42.7	8.0	29.6	19.9	-0.0	17	21	50	8	39	26	33	8	22	15	0	0	19.08801293373108	540	368.8186721801758	252	53.333333333333336	
0.0	41.7	8.0	30.733333333333334	20.633333333333333	-0.0	18	21	50	8	39	26	31	8	22	15	0	0	19.205086946487427	570	388.0237591266632	260	54.385964912280706	
0.0	43.733333333333334	8.0	29.633333333333333	19.933333333333334	-0.0	19	21	50	8	39	26	31	8	22	15	0	0	18.7095308303833	600	406.7332899570465	267	55.5	
0.0	42.166666666666664	8.0	29.1	19.6	-0.0	20	21	50	8	39	26	30	8	22	15	0	0	18.914542198181152	630	425.64783215522766	276	56.19047619047619	
0.0	42.2	8.0	30.133333333333333	20.266666666666666	-0.0	21	21	50	8	39	26	30	8	22	15	0	0	21.380284786224365	660	447.028116941452	285	56.81818181818182	
0.0	41.6	8.0	29.1	19.6	-0.0	22	21	50	8	39	26	30	8	22	15	0	0	19.221095323562622	690	466.24921226501465	294	57.391304347826086	
0.0	41.7	8.0	29.333333333333332	19.733333333333334	-0.0	23	22	50	8	39	26	30	8	22	15	0	0	20.39689874649048	720	486.6461110115051	297	58.75	
0.0	40.86666666666667	8.0	32.03333333333333	21.466666666666665	-0.0	24	23	50	8	39	26	30	8	22	15	0	0	24.456167221069336	750	511.10227823257446	307	59.06666666666667	
0.0	40.96666666666667	8.0	32.3	21.633333333333333	-0.0	25	23	50	8	39	26	29	8	22	15	0	0	27.728158950805664	780	538.8304371833801	319	59.1025641025641	
0.0	38.96666666666667	8.0	33.4	22.333333333333332	-0.0	26	24	48	8	39	26	24	8	22	15	0	0	27.281368732452393	810	566.1118059158325	324	60.0	
0.0	37.93333333333333	8.0	32.4	21.7	-0.0	27	24	50	8	39	26	19	8	22	15	0	0	25.549596309661865	840	591.6614022254944	339	59.64285714285714	
0.0	38.233333333333334	8.0	32.689655172413794	21.896551724137932	-0.0	28	26	50	8.0	39.0	26.0	22	8.0	22.0	15.0	0	0	23.625266790390015	870	615.2866690158844	353	59.42528735632184	
0.0	37.8	8.0	32.03333333333333	21.466666666666665	-0.0	29	26	49	8	39	26	23	8	22	15	0	0	25.96976900100708	900	641.2564380168915	360	60.0	
0.0	36.833333333333336	8.0	29.733333333333334	20.0	-0.0	30	26	49	8	39	26	24	8	22	15	0	0	22.74698495864868	930	664.0034229755402	367	60.537634408602145	
0.0	36.833333333333336	8.0	29.733333333333334	20.0	-0.0	30	26	49	8	39	26	24	8	22	15	0	0	22.74698495864868	930	664.0034229755402	367	60.537634408602145	
