ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-12.269229517721602	51.166666666666664	8.0	52.833333333333336	34.2	-12.361355219719389	0	0	76	8	81	51	36	8	36	24	0	0	0.49750185012817383	30	0.49750185012817383	28	6.666666666666671	
-12.361355219719389	37.56666666666667	8.0	42.16	27.6	-12.361355219719389	1	6	49	8.0	65.0	42.0	27	8.0	36.0	24.0	0	0	0.5347850322723389	60	1.0322868824005127	37	38.33333333333333	
-12.361355219719387	37.63333333333333	8.0	39.206896551724135	25.862068965517242	-12.361355219719389	2	8	50	8.0	65.0	42.0	27	8.0	36.0	24.0	0	0	0.38964200019836426	90	1.421928882598877	41	54.44444444444444	
-12.378144724620915	37.63333333333333	8.0	39.0	25.8	-12.462092249128574	3	9	49	8	65	42	26	8	36	24	0	0	0.3595099449157715	120	1.7814388275146484	46	61.666666666666664	
-12.462092249128576	37.5	8.0	39.34782608695652	25.956521739130434	-12.462092249128574	4	17	50	8.0	65.0	42.0	16	8.0	36.0	24.0	0	0	0.3103981018066406	150	2.091836929321289	51	66.0	
-12.467178950113752	44.833333333333336	8.0	39.43333333333333	26.1	-12.492612455039685	5	17	50	8	65	42	31	8	36	24	0	0	0.3760979175567627	180	2.4679348468780518	54	70.0	
-12.492612455039689	43.43333333333333	8.0	36.96666666666667	24.6	-12.492612455039685	6	17	50	8	65	42	31	8	36	24	0	0	0.4097321033477783	210	2.87766695022583	54	74.28571428571429	
-12.492612455039689	43.96666666666667	8.0	36.96666666666667	24.6	-12.492612455039685	7	17	50	8	65	42	31	8	36	24	0	0	0.42704296112060547	240	3.3047099113464355	55	77.08333333333334	
-12.492612455039689	42.833333333333336	8.0	37.93333333333333	25.2	-12.492612455039685	8	18	50	8	65	42	31	8	36	24	0	0	0.3739030361175537	270	3.6786129474639893	56	79.25925925925927	
-12.492612455039689	41.8	8.0	36.0	24.0	-12.492612455039685	9	19	50	8	36	24	27	8	36	24	0	0	0.3294079303741455	300	4.008020877838135	57	81.0	
-12.492612455039689	41.03333333333333	8.0	37.035714285714285	24.642857142857142	-12.492612455039685	10	22	50	8.0	65.0	42.0	27	8.0	36.0	24.0	0	0	0.2923152446746826	330	4.300336122512817	58	82.42424242424242	
-12.492612455039689	42.4	8.0	39.43333333333333	26.1	-12.492612455039685	11	22	50	8	65	42	26	8	36	24	0	0	0.3320739269256592	360	4.632410049438477	63	82.5	
-12.492612455039689	43.86666666666667	8.0	36.96666666666667	24.6	-12.492612455039685	12	23	50	8	65	42	35	8	36	24	0	0	0.33768200874328613	390	4.970092058181763	63	83.84615384615384	
-12.492612455039689	43.2	8.0	36.0	24.0	-12.492612455039685	13	23	49	8	36	24	31	8	36	24	0	0	0.33415985107421875	420	5.3042519092559814	63	85.0	
-12.513764719762072	44.233333333333334	8.0	36.0	24.0	-12.514494108200775	14	23	50	8	36	24	35	8	36	24	0	0	0.3357260227203369	450	5.639977931976318	63	86.0	
-12.523540682968303	44.0	8.0	36.53333333333333	24.3	-12.582343418957228	15	23	50	8	52	33	35	8	36	24	0	0	0.3489410877227783	480	5.988919019699097	64	86.66666666666667	
-12.58234341895723	44.46666666666667	8.0	36.0	24.0	-12.582343418957228	16	23	50	8	36	24	37	8	36	24	0	0	0.3400859832763672	510	6.329005002975464	64	87.45098039215686	
-12.58234341895723	44.43333333333333	8.0	36.53333333333333	24.3	-12.582343418957228	17	24	50	8	52	33	33	8	36	24	0	0	0.32242417335510254	540	6.651429176330566	66	87.77777777777777	
-12.58234341895723	43.6	8.0	37.10344827586207	24.620689655172413	-12.582343418957228	18	26	50	8.0	52.0	33.0	33	8.0	36.0	24.0	0	0	0.3088366985321045	570	6.960265874862671	67	88.24561403508773	
-12.58234341895723	44.86666666666667	8.0	36.0	24.0	-12.582343418957228	19	28	50	8.0	36.0	24.0	38	8.0	36.0	24.0	0	0	0.31647515296936035	600	7.276741027832031	67	88.83333333333333	
-12.58234341895723	45.36666666666667	8.0	39.53333333333333	26.1	-12.582343418957228	20	29	50	8	65	42	36	8	36	24	0	0	0.3232309818267822	630	7.5999720096588135	71	88.73015873015873	
-12.58234341895723	43.56666666666667	8.0	38.13333333333333	25.2	-12.582343418957228	21	29	50	8	52	33	28	8	36	24	0	0	0.34952616691589355	660	7.949498176574707	71	89.24242424242425	
-12.58234341895723	42.9	8.0	37.06666666666667	24.6	-12.582343418957228	22	29	50	8	52	33	32	8	36	24	0	0	0.33782196044921875	690	8.287320137023926	72	89.56521739130434	
-12.58234341895723	42.2	8.0	39.206896551724135	25.862068965517242	-12.582343418957228	23	31	50	8.0	65.0	42.0	32	8.0	36.0	24.0	0	0	0.35262584686279297	720	8.639945983886719	73	89.86111111111111	
-12.582343418957228	40.4	8.0	42.535714285714285	27.857142857142858	-12.582343418957228	24	34	50	8.0	65.0	42.0	27	8.0	36.0	24.0	0	0	0.32837510108947754	750	8.968321084976196	76	89.86666666666667	
-12.58234341895723	41.53333333333333	8.0	41.233333333333334	27.0	-12.582343418957228	25	34	50	8	65	42	30	8	36	24	0	0	0.34189581871032715	780	9.310216903686523	81	89.61538461538461	
-12.58234341895723	39.93333333333333	8.0	43.62068965517241	28.344827586206897	-12.582343418957228	26	36	50	8.0	65.0	42.0	23	8.0	36.0	24.0	0	0	0.3224351406097412	810	9.632652044296265	86	89.38271604938271	
