ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-0.19389207523722807	24.666666666666668	7.0	24.133333333333333	16.6	-0.00017489866594688763	0	0	34	7	34	23	18	7	17	12	0	0	3.238054037094116	30	3.238054037094116	28	6.666666666666671	
-4.833381556249942e-05	24.433333333333334	7.0	22.51851851851852	15.555555555555555	-1.3324360243149869e-05	1	4	43	7.0	34.0	23.0	12	7.0	17.0	12.0	0	0	2.7411949634552	60	5.979249000549316	42	30.0	
-8.029579578144669e-06	26.833333333333332	7.0	24.074074074074073	16.555555555555557	-3.6806746850359673e-07	2	8	44	7.0	34.0	23.0	12	7.0	17.0	12.0	0	0	3.0932161808013916	90	9.072465181350708	57	36.66666666666667	
-4.834131095421412e-08	26.5	7.0	27.25	18.607142857142858	-3.8399297075386585e-09	3	11	44	7.0	34.0	23.0	12	7.0	17.0	12.0	0	0	3.3459508419036865	120	12.418416023254395	62	48.33333333333333	
-2.6321866819500885e-09	23.866666666666667	7.0	24.64	16.92	-1.3237984042291373e-09	4	17	36	7.0	31.0	21.0	14	7.0	17.0	12.0	0	0	3.3545191287994385	150	15.772935152053833	75	50.0	
-6.919376183134318e-10	24.8	7.0	24.59259259259259	16.88888888888889	-1.2180878528056382e-10	5	21	47	7.0	34.0	23.0	5	7.0	17.0	12.0	0	0	3.5642528533935547	180	19.337188005447388	86	52.22222222222222	
-8.972484058415768e-11	26.333333333333332	7.0	24.17241379310345	16.620689655172413	-3.7833292054756384e-11	6	23	43	7.0	34.0	23.0	7	7.0	17.0	12.0	0	0	3.786885976791382	210	23.12407398223877	94	55.238095238095234	
-2.1804336114428224e-11	31.433333333333334	7.0	28.178571428571427	19.214285714285715	-1.0864642518981782e-11	7	26	45	7.0	34.0	23.0	4	7.0	17.0	12.0	0	0	3.810029983520508	240	26.934103965759277	110	54.16666666666667	
-7.843414806529836e-12	32.13333333333333	7.0	28.8	19.6	-2.4233948181517917e-12	8	26	46	7	34	23	15	7	17	12	0	0	4.80093789100647	270	31.735041856765747	127	52.96296296296296	
-1.2855463819897554e-12	33.9	7.0	27.620689655172413	18.862068965517242	-5.901945598907332e-13	9	28	46	7.0	34.0	23.0	12	7.0	17.0	12.0	0	0	3.818087100982666	300	35.55312895774841	138	54.0	
-3.9124259387790516e-13	33.13333333333333	7.0	26.733333333333334	18.3	-3.0597746558669314e-13	10	28	50	7	34	23	15	7	17	12	0	0	3.7303478717803955	330	39.28347682952881	155	53.03030303030303	
-3.0597746558669314e-13	35.36666666666667	7.0	26.962962962962962	18.444444444444443	-3.0597746558669314e-13	11	32	50	7.0	34.0	23.0	13	7.0	17.0	12.0	0	0	3.521008253097534	360	42.80448508262634	167	53.61111111111111	
-3.0597746558669314e-13	37.3	7.0	27.24137931034483	18.620689655172413	-3.0597746558669314e-13	12	34	50	7.0	34.0	23.0	19	7.0	17.0	12.0	0	0	3.558382749557495	390	46.36286783218384	179	54.1025641025641	
