gen,indv,hh_fit,bbob_f001_i01_d10,bbob_f001_i02_d10,bbob_f001_i03_d10,bbob_f001_i04_d10,bbob_f001_i05_d10,bbob_f001_i71_d10,bbob_f001_i72_d10,bbob_f001_i73_d10,bbob_f001_i74_d10,bbob_f001_i75_d10,bbob_f015_i01_d10,bbob_f015_i02_d10,bbob_f015_i03_d10,bbob_f015_i04_d10,bbob_f015_i05_d10,bbob_f015_i71_d10,bbob_f015_i72_d10,bbob_f015_i73_d10,bbob_f015_i74_d10,bbob_f015_i75_d10
0,0,1.0,107.8957032178073,435.1002037748976,-200.36466988006944,-118.79660404868531,4.737138921600383,243.99818160023267,234.80325847041743,-550.3412647662085,-950.4236736487353,24.64043662553434,1228.5489800245864,318.768587915648,221.08276949907028,217.02662655264825,75.06959371015071,-151.71047446746837,352.76040380172435,304.60120241034434,-748.9012050138462,123.83177353823666
0,1,1.0,123.61482145426571,455.40447361397264,-192.2666168546399,-115.62611398534105,35.34958464150728,205.93445515387788,225.4078832876569,-566.1892887950057,-961.9097208687728,-5.712751973745014,1184.6767741985461,366.6264835290617,405.2190291385016,244.64976715940364,190.46129968342325,-136.3097986965049,510.3447549483308,180.8317927932715,-728.6517368278187,125.44892545649765
0,2,1.0,106.34817127951379,421.50389287878306,-222.61916255098254,-105.56013920238917,7.489889809833677,217.32194752307527,215.7264688642371,-554.1355567150457,-938.7223479153286,-0.5711227551482487,1305.2754469402707,312.4875958850213,309.11253157475153,244.32263237296786,168.65884260964714,-156.32350795396692,309.56725542766526,307.2211279085119,-734.4090740696347,155.4286019390166
0,3,1.0,113.32055211373726,481.91626628070196,-187.77832158127725,-88.0822330832971,-0.9294321733997499,218.15314130389675,245.91149782292757,-543.7656969161154,-935.321408099103,-5.678097715750113,1250.4649763270916,310.51679435530355,197.86462576593624,272.99628327836433,141.82274785059144,-100.66155752051489,296.035901423503,185.05319301005747,-777.9238720935548,239.5936073369206
0,4,1.0,116.50506803797143,465.67644432376096,-163.56233787601266,-112.32292120673642,11.589968200213761,239.602791933282,224.1962052365949,-539.9175727230526,-954.9444273933839,25.055095654250056,1278.97649762866,295.7707115740362,310.0892439574949,277.106800464455,203.56752147626622,-4.12788858227043,370.69876340806843,179.5253679089536,-722.3889717663264,240.3266816724791
0,5,1.0,95.09245097704442,432.6297463945291,-196.4091566671896,-109.12846367702326,14.704959671801603,216.11936713982885,236.56129990007886,-565.7489215977588,-938.9602315109871,15.649496631061286,1257.0200366188,276.5186942718195,215.5113688359726,225.3795180611398,48.897951855224846,-194.79943290235883,418.04985283535393,181.73792653116766,-787.7575518283652,115.27592707038619
0,6,1.0,117.6093891396495,471.6252507611366,-208.63105482617806,-93.75012507385992,24.89071474677113,239.2422252419863,214.13065821223273,-567.6977065461225,-926.6052498907975,38.16389556144489,1334.6204586912754,347.73455925893813,267.8597096677603,316.04246756753037,132.8449132555309,-115.24529564920923,348.9947856100381,309.5905856987333,-599.8905072226613,105.91004528472669
0,7,1.0,110.53380928696934,421.5289174046654,-212.3115452146288,-110.57292688360192,-1.3970018347702506,218.19187918379495,228.02109544576,-540.6762623138926,-957.5169000181172,2.58073507544772,1269.1917457954921,238.3144527667546,200.08243555125182,189.2132937298098,120.45832155275906,-111.84214727198054,390.40175610474944,181.05763329349764,-814.6888940837798,164.18938565616216
0,8,1.0,108.82719532045648,462.87794794267984,-191.2178241975148,-93.17540050433232,14.442829956068373,231.0038407161494,212.54241995115257,-531.660223946559,-950.9407013464461,8.037387144124612,1251.4914965927592,337.5559461423046,346.57912230759666,277.93486735823376,90.58380960787929,44.473334989132354,359.2931427950605,323.0187743681146,-788.8600425264607,89.19988606237175
0,9,1.0,101.5882186753226,455.26135605821077,-206.82804267253863,-107.32951077821903,17.860045922862014,230.37406149059333,216.07485388297403,-571.5508535084671,-941.1557084392465,22.87835889151705,1193.0101670171332,409.29647174030015,188.71387270504226,240.18415596706424,100.6839744983069,-64.0853217363894,274.71514809225687,234.99573399136818,-811.8974112065763,144.49280807201208
1,0,1.0,115.88790216745566,447.6281699784515,-222.04492975919572,-102.5982232661787,2.8833816444722444,258.074795120949,229.22627249313516,-558.7606937395183,-944.49088520775,27.888493680556447,1214.203265622412,302.15535685211023,269.64108983818085,252.79667796546016,144.59263638694358,-65.87656044998403,405.5353392465314,435.6924283373251,-694.7000971709688,187.2048452336176
1,1,1.0,96.56308055287609,458.74347461733254,-200.9504394099464,-111.45864884173774,-10.84987423932926,243.37229584792112,233.67577234215605,-545.6352044555563,-950.6370553138391,12.264052657557617,1390.7324298019773,318.3455064386941,197.42356644177076,273.31414409590684,208.92604234762422,-196.94057224620806,350.56984054936095,224.27039884714623,-676.2302964366386,198.55376819715846
1,2,1.0,114.70930039531882,461.32389132648075,-202.98720127024384,-93.84520063336817,9.41412925173676,254.23828914316613,243.65963512495807,-560.1219815475625,-951.5038535089956,31.089605827412267,1219.199080807898,477.7531947780907,233.231221880861,237.92373833582806,185.24134183560597,-160.49431946922923,270.44691678700747,259.0713366350933,-729.1570189013851,117.13122836929219
1,3,1.0,117.4334263913094,436.88993592996707,-201.99980826885306,-124.74735068111738,24.483137405203216,230.1555913561768,222.6251823632682,-549.6531865723716,-942.6770499507043,19.75306611157615,1260.337730996868,321.76219099365505,237.01538032661458,284.529128817759,200.70924817262335,-30.91061889294201,343.32367046543334,248.49408841386258,-598.587338230442,127.07983545139692
1,4,1.0,109.23256513329737,413.67318012995383,-192.48244796050983,-116.77168028864294,3.2288389984246137,224.05894578293916,233.84142649995576,-553.6768537592691,-966.684833679935,12.641440746261726,1230.9974445473783,320.57188470522874,159.28758366764416,238.32353855444984,93.73590714515993,-127.69276120349679,302.2491501022448,263.3893242160186,-766.0884005039927,185.82403298944794
1,5,1.0,118.41716053151754,442.59718979236357,-208.11082990038938,-116.68335507579903,7.783169930270631,259.23110485633373,229.13057037341866,-550.5116517025333,-943.4964855183756,8.141298511281672,1243.3265155581516,260.9425362523572,143.95154369184237,164.6022064377398,172.65344934749237,-109.98155615010353,270.38707389948877,238.40149686545487,-690.1357419572304,90.55746094041334
2,6,1.0,122.99651168518925,438.1227522360289,-201.13355291326823,-94.55108356349245,-4.627184539999732,233.1856770049808,226.74129517359648,-544.6708339883385,-952.5850639630639,13.099074219804397,1177.4898565451201,336.16761129698943,203.61521637464526,315.5974691165136,75.9865289490204,-160.23873570861764,326.6877296398727,228.23395841823037,-738.254798743475,134.70677365233234
2,7,1.0,107.65736131717969,419.7045015726458,-233.04853661091212,-98.3587786073869,14.386853956201634,263.362589482192,227.3874970087049,-555.5505329064285,-930.049224562842,24.297274505892236,1254.535967594482,309.81674218957323,438.8633045088375,313.804375431455,174.0318497170606,-88.71100341788929,381.4287783647518,435.7858371089141,-801.543730384112,206.20095859960784
